 CUSTOMER ,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Totals ,Cont.,Target
ONN THE WAY," 102,208.58 "," 73,268.62 "," 82,610.03 "," 104,622.64 "," 47,949.82 "," 410,659.69 ",0.009308615," 103,852.99 "
Quick Mart Ltd," 89,500.99 "," 109,369.22 "," 2,493,497.90 "," 633,304.59 "," 444,988.07 "," 3,770,660.77 ",0.08547133," 953,573.98 "
Karen Provision Stores Ltd," 104,097.56 "," 118,980.39 "," 38,297.48 "," 35,573.90 "," 48,199.90 "," 345,149.23 ",0.007823659," 87,285.85 "
Chandarana Supermarket Ltd," 1,034,173.34 "," 915,416.75 "," 537,709.61 "," 646,539.32 "," 1,164,516.68 "," 4,298,355.70 ",0.097432837," 1,087,024.38 "
Zucchini Greengrocers Ltd," 8,749.20 "," 42,089.31 ", -   ," 27,229.33 "," 17,988.90 "," 96,056.74 ",0.002177363," 30,365.11 "
CLEANSHELF SUPERMARKETS LTD," 29,077.02 "," 134,293.68 "," 26,818.30 "," 42,653.68 "," 11,367.95 "," 244,210.63 ",0.005535636," 61,759.18 "
CONTESSA COMPANY LTD, -   ," 62,891.18 "," 82,436.58 "," 53,840.41 "," 88,579.76 "," 287,747.93 ",0.006522517," 72,769.46 "
Kamindi Selfridges Supermarket Ltd," 3,088.00 "," 9,749.00 "," 7,146.00 ", -   , -   ," 19,983.00 ",0.000452964," 12,633.91 "
Naivas Limited," 3,428,513.26 "," 2,489,738.90 "," 2,751,169.81 "," 1,559,632.76 "," 1,757,157.11 "," 11,986,211.84 ",0.271697065," 3,031,229.93 "
Khetia Drapers Limited," 33,485.04 "," 26,837.40 "," 63,666.92 "," 47,560.60 "," 103,070.82 "," 274,620.78 ",0.006224958," 69,449.69 "
Majid Al Futtaim," 2,381,360.61 "," 1,439,960.86 "," 1,981,260.16 "," 3,030,427.94 "," 1,398,865.09 "," 10,231,874.66 ",0.231930684," 2,587,570.21 "
Eastmatt Supermarket," 38,598.00 "," 21,778.00 ", -   ," 12,687.60 "," 5,338.00 "," 78,401.60 ",0.001777166," 24,784.03 "
Trans-mattresses Limited," 11,652.61 ", -   ," 19,971.32 "," 3,581.64 ", -   ," 35,205.57 ",0.000798021," 14,838.74 "
Woolmart Limited," 40,200.52 ", -   ," 12,373.32 ", -   , -   ," 52,573.84 ",0.001191716," 33,238.90 "
Jamaa supermarket limited," 58,726.08 "," 11,789.94 "," 22,583.56 "," 9,162.82 "," 11,995.14 "," 114,257.54 ",0.002589929," 28,894.94 "
Highport Merchants Ltd," 37,056.00 "," 90,930.80 ", -   , -   , -   ," 127,986.80 ",0.002901137," 80,917.44 "
Mesora Supermarket Ltd," 60,290.00 ", -   , -   , -   , -   ," 60,290.00 ",0.001366622," 76,234.62 "
SOQOTRA TRADERS LTD," 664,260.80 "," 664,260.80 "," 1,328,521.60 "," 1,325,864.56 "," 1,329,318.71 "," 5,312,226.47 ",0.12041472," 1,343,425.27 "
JOKER TRADING STORES Ltd, -   ," 142,240.00 ", -   , -   , -   ," 142,240.00 ",0.003224221," 179,857.55 "
EWCA MARKETING (KENYA) LTD," 358,815.26 "," 388,188.09 "," 1,157,802.90 "," 287,839.60 "," 963,662.42 "," 3,156,308.27 ",0.071545514," 798,208.49 "
METROMART LIMITED, -   , -   , -   ," 18,055.16 ", -   ," 18,055.16 ",0.000409265," 22,830.12 "
PLATINUM ENTERPRISES LIMITED," 71,120.00 ", -   ," 71,120.00 ", -   , -   ," 142,240.00 ",0.003224221," 89,928.78 "
LAXMI WHOLESALERS LTD, -   , -   ," 14,224.00 ", -   , -   ," 14,224.00 ",0.000322422," 17,985.76 "
BACCHUS GROCERS LTD," 15,256.50 "," 6,412.50 "," 25,591.50 ", -   , -   ," 47,260.50 ",0.001071276," 29,879.63 "
REAL SAVE SUPERMARKET LTD, -   , -   ," 13,596.59 ", -   , -   ," 13,596.59 ",0.0003082," 17,192.42 "
YESSMART SUPERMARKET LIMITED," 21,674.94 "," (1,022.20)"," 26,278.50 "," 45,135.00 ", -   ," 92,066.24 ",0.002086908," 23,282.91 "
SAMRAT SUPERMARKET LTD," 20,169.04 ", -   ," 14,328.04 ", -   , -   ," 34,497.08 ",0.000781961," 21,810.18 "
GALMART SUPERMARKET LTD," 76,933.92 "," 25,385.64 ", -   ," 40,006.50 ", -   ," 142,326.06 ",0.003226171," 59,988.79 "
RETAIL CUSTOMER," 28,448.00 "," 125,311.20 "," 392,867.95 ", -   ," 24,348.08 "," 570,975.23 ",0.012942562," 144,395.68 "
PANTRY & PROVISIONS LIMITED," 16,418.22 ", -   ," 14,586.54 ", -   , -   ," 31,004.76 ",0.000702799," 19,602.22 "
KRANTI ENTERPRISES LTD," 8,234.40 ", -   , -   , -   , -   ," 8,234.40 ",0.000186653," 10,412.11 "
TRANSMART SUPERMAR LTD," 11,652.61 ", -   , -   , -   , -   ," 11,652.61 ",0.000264135," 14,734.32 "
FAST FORWADING INVESTMENT LTD," 17,631.88 ", -   , -   , -   , -   ," 17,631.88 ",0.00039967," 22,294.90 "
KINGS CANDY LTD, -   ," 14,224.00 "," 14,224.00 ", -   , -   ," 28,448.00 ",0.000644844," 17,985.76 "
CREEKOHME COMPANY LTD, -   ," 308,376.32 ", -   , -   , -   ," 308,376.32 ",0.00699011," 389,931.17 "
PAMTAC KENYA LTD, -   ," 40,041.00 ", -   , -   , -   ," 40,041.00 ",0.000907628," 50,630.46 "
BULKZEN SHOP LTD, -   ," 132,852.16 ", -   , -   , -   ," 132,852.16 ",0.003011422," 167,986.95 "
JOYSTAR SUPERMARKET LTD, -   ," 27,925.50 ", -   , -   , -   ," 27,925.50 ",0.000633," 35,310.83 "
SIBCO FOOD MART LTD, -   ," 96,616.00 ", -   ," 271,678.40 "," 24,660.00 "," 392,954.40 ",0.008907281," 165,625.74 "
SKY MART ENTERPRISES LTD, -   , -   ," 132,550.80 ", 568.00 ," 93,492.97 "," 226,611.77 ",0.005136715," 95,514.24 "
SUPER KAY MART LTD, -   , -   ," 42,640.52 "," 64,209.62 ", -   ," 106,850.14 ",0.002422022," 67,554.15 "
RAPHYMART SUPERMARKET, -   , -   ," 80,272.96 ", -   , -   ," 80,272.96 ",0.001819585," 101,502.38 "
Twiga Foods Limited, -   , -   , -   ," 356,505.64 ", -   ," 356,505.64 ",0.00808108," 450,789.03 "
99MART LIMITED, -   , -   , -   ," 9,698.00 ", -   ," 9,698.00 ",0.000219829," 12,262.79 "
TASYA MART LIMITED, -   , -   , -   , -   ," 27,921.89 "," 27,921.89 ",0.000632919," 35,306.26 "
SHIVLING SUPERMARKETS LTD, -   , -   , -   ," 188,845.50 ", -   ," 188,845.50 ",0.004280649," 238,788.59 "
